INFO       2022-04-12 14:51:02,975: topic='drag' sending data='{"drag": 0}' as format_msg_with_header(msgToSend)=b'36   drag                     {"drag": 0}'
DEBUG      2022-04-12 14:51:10,078: Timestep:    59-{'drag': 24287657.52915899}
INFO       2022-04-12 14:51:10,250: topic='drag' sending data='{"drag": 24110812.467101373}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24110812.467101373}'
INFO       2022-04-12 14:51:10,250: topic='field_update' sending data='{"currentTimestep": 61}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 61}'
DEBUG      2022-04-12 14:51:10,250: Timestep:    60-{'drag': 24110812.467101373}
INFO       2022-04-12 14:51:10,391: topic='drag' sending data='{"drag": 82905066.84268346}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 82905066.84268346}'
INFO       2022-04-12 14:51:10,391: topic='field_update' sending data='{"currentTimestep": 62}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 62}'
DEBUG      2022-04-12 14:51:10,391: Timestep:    61-{'drag': 82905066.84268346}
INFO       2022-04-12 14:51:10,575: topic='drag' sending data='{"drag": 81441035.96941786}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 81441035.96941786}'
INFO       2022-04-12 14:51:10,575: topic='field_update' sending data='{"currentTimestep": 63}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 63}'
DEBUG      2022-04-12 14:51:10,575: Timestep:    62-{'drag': 81441035.96941786}
INFO       2022-04-12 14:51:10,715: topic='drag' sending data='{"drag": 80116955.49234812}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 80116955.49234812}'
INFO       2022-04-12 14:51:10,715: topic='field_update' sending data='{"currentTimestep": 64}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 64}'
